region,label,long,lat,value
New Caledonia,,165.618042,-20.904305,0
Niger,,8.081666,17.607789,0
Norfolk Island,,,,0
Nigeria,,8.675277,9.081999,0
Nicaragua,,-85.207229,12.865416,0
Niue,,,,0
Bonaire,,,,0
Sint Eustatius,,,,0
Saba,,,,0
Netherlands,,5.291266,52.132633,0
Norway,,8.468946,60.472024,0
Nepal,,84.124008,28.394857,0
Nauru,,,,0
New Zealand,,174.885971,-40.900557,0
Oman,,55.923255,21.512583,0
Pakistan,,69.345116,30.375321,0
Panama,,-80.782127,8.537981,0
Pitcairn Islands,,,,0
Peru,,-75.015152,-9.189967,0
Philippines,,121.774017,12.879721,0
Palau,,,,0
Papua New Guinea,,143.95555,-6.314993,0
Poland,,19.145136,51.919438,0
Puerto Rico,,-66.590149,18.220833,0
North Korea,,127.510093,40.339852,0
Madeira Islands,,,,0
Azores,,,,0
Portugal,,-8.224454,39.399872,0
Paraguay,,-58.443832,-23.442503,0
Palestine,,,,0
French Polynesia,,,,0
Qatar,,51.183884,25.354826,0
Romania,,24.96676,45.943161,0
Russia,Russia,105.318756,61.52401,6
Rwanda,,29.873888,-1.940278,0
Western Sahara,,-12.885834,24.215527,0
Saudi Arabia,,45.079162,23.885942,0
Sudan,,30.217636,12.862807,0
South Sudan,,31.3069788,6.8769919,0
Senegal,,-14.452362,14.497401,0
Singapore,,,,0
South Sandwich Islands,,,,0
South Georgia,,,,0
Saint Helena,,,,0
Ascension Island,,,,0
Solomon Islands,,160.156194,-9.64571,0
Sierra Leone,,-11.779889,8.460555,0
El Salvador,,-88.89653,13.794185,0
Somalia,,46.199616,5.152149,0
Saint Pierre and Miquelon,,,,0
Serbia,,21.005859,44.016521,0
Sao Tome and Principe,,,,0
Suriname,,-56.027783,3.919305,0
Slovakia,,19.699024,48.669026,0
Slovenia,,14.995463,46.151241,0
Sweden,,18.643501,60.128161,0
Swaziland,,31.465866,-26.522503,0
Sint Maarten,,,,0
Seychelles,,,,0
Syria,,38.996815,34.802075,0
Turks and Caicos Islands,,,,0
Chad,,18.732207,15.454166,0
Togo,,0.824782,8.619543,0
Thailand,,100.992541,15.870032,0
Tajikistan,,71.276093,38.861034,0
Turkmenistan,,59.556278,38.969719,0
Timor-Leste,,125.727539,-8.874217,0
Tonga,,,,0
Trinidad,,-61.222503,10.691803,0
Tobago,,-61.222503,10.691803,0
Tunisia,,9.537499,33.886917,0
Turkey,,35.243322,38.963745,0
Tanzania,,34.888822,-6.369028,0
Uganda,,32.290275,1.373333,0
Ukraine,,31.16558,48.379433,0
Uruguay,,-55.765835,-32.522779,0
USA,USA,-95.712891,37.09024,2
Uzbekistan,,64.585262,41.377491,0
Vatican,,,,0
Grenadines,,,,0
Saint Vincent,,,,0
Venezuela,,-66.58973,6.42375,0
Virgin Islands,,,,0
Vietnam,,108.277199,14.058324,0
Vanuatu,,166.959158,-15.376706,0
Wallis and Futuna,,,,0
Samoa,,,,0
Yemen,,48.516388,15.552727,0
South Africa,,22.937506,-30.559482,0
Zambia,,27.849332,-13.133897,0
Zimbabwe,,29.154857,-19.015438,0
